iter	Passed	Remaining
0	0	935
1	2	1153
2	3	1305
3	5	1480
4	7	1409
5	9	1571
6	10	1537
7	13	1624
8	15	1661
9	17	1724
10	19	1755
11	21	1763
12	24	1834
13	25	1822
14	27	1782
15	29	1823
16	31	1807
17	32	1787
18	34	1771
19	36	1783
20	37	1747
21	39	1745
22	41	1741
23	42	1738
24	44	1744
25	46	1744
26	49	1766
27	51	1775
28	53	1790
29	55	1786
30	56	1772
31	58	1773
32	60	1763
33	62	1769
34	64	1774
35	66	1784
36	67	1769
37	69	1765
38	71	1771
39	73	1769
40	75	1777
41	77	1772
42	79	1774
43	81	1760
44	82	1760
45	84	1751
46	85	1742
47	87	1741
48	88	1724
49	90	1712
50	92	1712
51	93	1706
52	95	1711
53	98	1719
54	100	1720
55	102	1719
56	104	1725
57	106	1730
58	108	1734
59	110	1738
60	113	1745
61	115	1745
62	117	1746
63	119	1744
64	121	1743
65	123	1744
66	125	1747
67	127	1750
68	129	1747
69	131	1744
70	133	1745
71	135	1741
72	136	1734
73	138	1731
74	140	1732
75	142	1727
76	143	1725
77	145	1719
78	147	1721
79	149	1717
80	151	1716
81	153	1718
82	155	1716
83	157	1719
84	159	1712
85	160	1709
86	162	1708
87	165	1717
88	167	1716
89	169	1716
90	171	1713
91	173	1713
92	175	1707
93	176	1705
94	178	1704
95	181	1704
96	182	1702
97	184	1699
98	185	1691
99	187	1686
100	189	1683
101	190	1681
102	192	1675
103	194	1672
104	196	1671
105	197	1667
106	199	1663
107	200	1658
108	202	1652
109	203	1650
110	205	1644
111	206	1639
112	208	1633
113	209	1627
114	211	1623
115	212	1620
116	214	1616
117	215	1611
118	216	1606
119	218	1602
120	219	1596
121	221	1592
122	222	1587
123	224	1582
124	225	1577
125	226	1573
126	228	1570
127	229	1565
128	231	1561
129	232	1556
130	233	1552
131	235	1548
132	236	1543
133	238	1539
134	239	1535
135	241	1531
136	242	1527
137	243	1523
138	245	1519
139	246	1515
140	248	1511
141	249	1507
142	250	1503
143	251	1497
144	253	1492
145	254	1488
146	255	1485
147	257	1481
148	258	1477
149	260	1474
150	261	1469
151	262	1467
152	264	1463
153	265	1460
154	267	1457
155	269	1457
156	270	1454
157	272	1452
158	274	1451
159	275	1448
160	277	1445
161	279	1443
162	280	1442
163	282	1439
164	283	1434
165	285	1434
166	287	1432
167	288	1429
168	290	1426
169	292	1426
170	293	1424
171	295	1424
172	297	1423
173	299	1421
174	301	1419
175	302	1417
176	304	1415
177	306	1414
178	307	1411
179	309	1408
180	310	1406
181	312	1404
182	313	1401
183	315	1399
184	317	1397
185	318	1395
186	320	1392
187	322	1392
188	323	1389
189	325	1388
190	327	1386
191	328	1384
192	330	1382
193	332	1380
194	334	1378
195	335	1376
196	337	1376
197	339	1374
198	341	1373
199	343	1372
200	344	1370
201	346	1370
202	348	1369
203	351	1370
204	353	1369
205	354	1367
206	356	1366
207	358	1363
208	359	1361
209	362	1362
210	363	1360
211	365	1359
212	367	1358
213	369	1357
214	371	1355
215	373	1354
216	374	1351
217	376	1350
218	377	1347
219	379	1345
220	381	1343
221	382	1341
222	400	1395
223	401	1392
224	403	1390
225	405	1388
226	407	1387
227	409	1385
228	411	1384
229	412	1382
230	414	1380
231	416	1377
232	418	1376
233	419	1374
234	421	1373
235	424	1372
236	425	1371
237	427	1369
238	429	1368
239	431	1367
240	433	1366
241	435	1364
242	437	1362
243	439	1361
244	441	1359
245	443	1358
246	444	1356
247	447	1356
248	448	1354
249	451	1354
250	453	1353
251	455	1350
252	456	1349
253	458	1347
254	460	1345
255	462	1344
256	464	1342
257	465	1339
258	467	1336
259	468	1334
260	470	1332
261	471	1329
262	473	1326
263	474	1324
264	476	1321
265	478	1319
266	479	1316
267	481	1314
268	482	1312
269	484	1310
270	486	1307
271	487	1305
272	489	1302
273	490	1300
274	492	1297
275	494	1296
276	496	1294
277	497	1292
278	498	1289
279	500	1287
280	502	1284
281	503	1281
282	505	1280
283	506	1278
284	508	1275
285	510	1273
286	511	1270
287	513	1268
288	514	1265
289	516	1263
290	517	1261
291	519	1259
292	520	1256
293	522	1254
294	523	1251
295	525	1249
296	526	1247
297	528	1244
298	530	1242
299	531	1240
300	533	1237
301	534	1235
302	536	1234
303	538	1232
304	539	1230
305	541	1227
306	543	1225
307	544	1223
308	546	1221
309	548	1219
310	549	1217
311	551	1215
312	552	1213
313	554	1211
314	556	1209
315	558	1208
316	560	1207
317	562	1206
318	564	1204
319	565	1202
320	567	1200
321	569	1198
322	571	1196
323	572	1194
324	574	1192
325	576	1191
326	577	1188
327	579	1187
328	580	1184
329	582	1182
330	584	1180
331	585	1178
332	588	1177
333	589	1175
334	591	1173
335	592	1171
336	594	1168
337	595	1166
338	596	1163
339	598	1162
340	600	1159
341	602	1158
342	603	1156
343	605	1154
344	606	1152
345	608	1149
346	609	1147
347	611	1145
348	612	1142
349	614	1140
350	615	1138
351	617	1136
352	618	1133
353	620	1131
354	621	1129
355	623	1127
356	624	1125
357	626	1122
358	627	1120
359	628	1118
360	630	1115
361	631	1113
362	633	1111
363	634	1108
364	636	1107
365	637	1104
366	639	1102
367	640	1100
368	642	1098
369	643	1096
370	645	1094
371	647	1092
372	648	1090
373	650	1088
374	651	1086
375	653	1084
376	654	1081
377	656	1079
378	657	1077
379	659	1075
380	660	1073
381	662	1071
382	663	1069
383	665	1067
384	666	1065
385	668	1063
386	670	1061
387	672	1060
388	673	1058
389	675	1056
390	677	1054
391	678	1052
392	680	1051
393	682	1049
394	683	1047
395	685	1045
396	686	1043
397	688	1041
398	689	1039
399	691	1037
400	693	1036
401	695	1034
402	697	1033
403	698	1031
404	700	1029
405	702	1027
406	704	1025
407	705	1024
408	707	1022
409	709	1020
410	711	1019
411	713	1017
412	715	1016
413	717	1015
414	719	1014
415	721	1012
416	723	1010
417	724	1009
418	726	1008
419	728	1006
420	730	1004
421	731	1002
422	733	1000
423	735	998
424	736	996
425	738	995
426	740	993
427	741	990
428	742	988
429	744	986
430	746	985
431	747	982
432	749	981
433	750	979
434	752	977
435	754	975
436	755	973
437	756	971
438	758	969
439	759	966
440	761	965
441	763	963
442	764	961
443	766	959
444	767	957
445	769	955
446	770	953
447	772	951
448	773	949
449	775	947
450	776	945
451	778	943
452	780	942
453	781	940
454	783	938
455	784	936
456	786	934
457	787	932
458	789	930
459	790	928
460	792	926
461	793	924
462	795	922
463	796	920
464	798	918
465	800	916
466	801	915
467	803	913
468	804	911
469	806	909
470	808	908
471	810	906
472	811	904
473	813	902
474	814	900
475	816	898
476	818	896
477	819	895
478	822	894
479	824	892
480	825	891
481	827	889
482	828	887
483	830	885
484	832	883
485	833	881
486	835	880
487	837	878
488	839	876
489	840	875
490	842	873
491	844	871
492	846	870
493	847	868
494	849	866
495	851	864
496	853	863
497	855	862
498	857	861
499	859	859
500	860	857
501	862	855
502	864	853
503	866	852
504	867	850
505	869	848
506	871	847
507	872	845
508	874	843
509	876	841
510	878	840
511	879	838
512	881	836
513	883	834
514	884	832
515	885	830
516	887	829
517	889	827
518	890	825
519	891	823
520	893	821
521	894	819
522	896	817
523	898	815
524	899	813
525	900	811
526	902	809
527	904	808
528	905	806
529	907	804
530	908	802
531	910	800
532	911	798
533	913	797
534	915	795
535	916	793
536	918	791
537	919	789
538	921	787
539	922	785
540	924	784
541	925	782
542	927	780
543	928	778
544	930	776
545	932	775
546	934	773
547	935	771
548	937	769
549	938	768
550	940	766
551	942	764
552	943	762
553	945	761
554	947	759
555	948	757
556	950	756
557	952	754
558	954	752
559	955	750
560	957	749
561	958	747
562	960	745
563	962	743
564	964	742
565	966	741
566	968	739
567	969	737
568	971	735
569	973	734
570	974	732
571	976	730
572	978	729
573	980	727
574	982	726
575	983	724
576	985	722
577	987	720
578	989	719
579	990	717
580	992	715
581	994	713
582	995	712
583	997	710
584	998	708
585	1000	706
586	1002	705
587	1003	703
588	1005	701
589	1006	699
590	1008	697
591	1010	696
592	1011	694
593	1013	692
594	1015	690
595	1016	689
596	1018	687
597	1019	685
598	1021	683
599	1022	681
600	1024	680
601	1025	678
602	1027	676
603	1029	674
604	1030	672
605	1032	671
606	1033	669
607	1035	667
608	1036	665
609	1038	663
610	1040	662
611	1041	660
612	1043	658
613	1044	656
614	1046	655
615	1047	653
616	1049	651
617	1051	649
618	1052	648
619	1054	646
620	1055	644
621	1057	642
622	1059	640
623	1060	639
624	1062	637
625	1064	635
626	1065	633
627	1067	632
628	1069	630
629	1070	628
630	1072	627
631	1073	625
632	1075	623
633	1077	621
634	1078	620
635	1080	618
636	1082	616
637	1083	614
638	1085	613
639	1087	611
640	1089	610
641	1090	608
642	1092	606
643	1094	605
644	1096	603
645	1097	601
646	1099	599
647	1101	598
648	1102	596
649	1104	594
650	1105	592
651	1107	591
652	1109	589
653	1111	587
654	1113	586
655	1114	584
656	1116	582
657	1117	581
658	1119	579
659	1121	577
660	1122	575
661	1124	574
662	1126	572
663	1127	570
664	1128	568
665	1130	566
666	1131	565
667	1133	563
668	1134	561
669	1136	559
670	1137	557
671	1139	556
672	1140	554
673	1142	552
674	1143	550
675	1145	548
676	1146	547
677	1148	545
678	1149	543
679	1151	541
680	1152	539
681	1154	538
682	1155	536
683	1157	534
684	1159	533
685	1160	531
686	1162	529
687	1164	527
688	1165	526
689	1166	524
690	1168	522
691	1170	520
692	1171	519
693	1173	517
694	1175	515
695	1176	514
696	1178	512
697	1180	510
698	1181	508
699	1183	507
700	1185	505
701	1186	503
702	1188	502
703	1190	500
704	1192	498
705	1194	497
706	1195	495
707	1197	493
708	1199	492
709	1200	490
710	1202	488
711	1203	486
712	1205	485
713	1208	483
714	1209	482
715	1211	480
716	1213	478
717	1215	477
718	1217	475
719	1219	474
720	1221	472
721	1223	471
722	1225	469
723	1227	467
724	1228	466
725	1230	464
726	1233	463
727	1234	461
728	1236	459
729	1238	458
730	1239	456
731	1242	454
732	1244	453
733	1246	451
734	1247	449
735	1249	448
736	1251	446
737	1253	444
738	1255	443
739	1257	441
740	1259	440
741	1261	438
742	1262	436
743	1264	435
744	1266	433
745	1267	431
746	1269	429
747	1271	428
748	1272	426
749	1274	424
750	1275	422
751	1277	421
752	1278	419
753	1280	417
754	1281	415
755	1283	414
756	1284	412
757	1286	410
758	1287	408
759	1289	407
760	1290	405
761	1292	403
762	1294	401
763	1295	400
764	1297	398
765	1298	396
766	1300	395
767	1301	393
768	1303	391
769	1304	389
770	1306	387
771	1307	386
772	1309	384
773	1310	382
774	1312	380
775	1313	379
776	1315	377
777	1316	375
778	1317	373
779	1319	372
780	1320	370
781	1321	368
782	1323	366
783	1324	364
784	1326	363
785	1327	361
786	1329	359
787	1331	358
788	1332	356
789	1334	354
790	1335	352
791	1336	351
792	1338	349
793	1340	347
794	1341	345
795	1342	344
796	1344	342
797	1346	340
798	1347	339
799	1349	337
800	1351	335
801	1352	333
802	1354	332
803	1355	330
804	1357	328
805	1359	327
806	1361	325
807	1362	323
808	1364	322
809	1365	320
810	1366	318
811	1368	316
812	1369	315
813	1371	313
814	1373	311
815	1374	309
816	1375	308
817	1377	306
818	1378	304
819	1379	302
820	1381	301
821	1383	299
822	1384	297
823	1386	296
824	1387	294
825	1389	292
826	1390	290
827	1392	289
828	1393	287
829	1395	285
830	1396	283
831	1397	282
832	1398	280
833	1400	278
834	1401	277
835	1403	275
836	1404	273
837	1405	271
838	1407	270
839	1408	268
840	1409	266
841	1411	264
842	1412	263
843	1414	261
844	1415	259
845	1416	257
846	1418	256
847	1419	254
848	1421	252
849	1422	251
850	1423	249
851	1425	247
852	1426	245
853	1427	244
854	1429	242
855	1430	240
856	1431	238
857	1433	237
858	1434	235
859	1435	233
860	1436	231
861	1438	230
862	1439	228
863	1441	226
864	1442	225
865	1443	223
866	1444	221
867	1446	219
868	1447	218
869	1448	216
870	1450	214
871	1451	213
872	1453	211
873	1454	209
874	1456	208
875	1457	206
876	1459	204
877	1460	202
878	1462	201
879	1463	199
880	1464	197
881	1466	196
882	1467	194
883	1469	192
884	1470	191
885	1471	189
886	1473	187
887	1475	186
888	1477	184
889	1479	182
890	1480	181
891	1481	179
892	1483	177
893	1485	176
894	1486	174
895	1488	172
896	1489	171
897	1491	169
898	1493	167
899	1494	166
900	1496	164
901	1497	162
902	1499	161
903	1500	159
904	1502	157
905	1503	155
906	1504	154
907	1506	152
908	1507	150
909	1508	149
910	1510	147
